par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
32,0.811964922,0.809811478,0.761951382,0.774877617,0.822958983,0.78726251,0.777268161,0.759254304,0.801943139,0.829574327,0.747989169,0.788570535,0.781594351,0.808207478,0.642192885,0.487107922,0.438530596,0.478156164,0.432851599,0.478736904,0.461503933,0.429082388,26861.62973,33220.64833
33,0.809283615,0.81003435,0.760593618,0.776704486,0.826254302,0.778084207,0.781063213,0.75137893,0.794809408,0.836485407,0.74313521,0.797671144,0.779998749,0.809097533,0.649977262,0.489794251,0.44052584,0.482317411,0.433714041,0.483372915,0.465295222,0.433453434,27142.29535,33421.62487
34,0.811920281,0.811834098,0.761510821,0.777607012,0.823201574,0.785687576,0.776227051,0.757502103,0.802836024,0.832741544,0.749660582,0.793683424,0.781022813,0.810857962,0.655683078,0.499676514,0.441907478,0.486681701,0.435069303,0.484317895,0.468709865,0.436025398,27324.40591,33624.55946
35,0.814705454,0.822110469,0.765548647,0.787972372,0.82212478,0.792843233,0.777465326,0.764118793,0.808963482,0.844063835,0.756326079,0.805864953,0.784471107,0.819043048,0.658785523,0.506286908,0.444287326,0.489291831,0.437533484,0.490382014,0.473541418,0.44142159,27222.51621,33439.57697
36,0.81305111,0.82122905,0.7644281,0.789246329,0.825299386,0.792511701,0.780466942,0.764480902,0.804352487,0.841407355,0.75303745,0.806647808,0.784299386,0.820959066,0.666617509,0.51219206,0.446922473,0.493099038,0.438383442,0.492698962,0.475879316,0.443610187,27580.5455,34401.12765
37,0.812347532,0.822966308,0.764579554,0.791979689,0.819011565,0.793855302,0.775138723,0.768869647,0.807866657,0.842289315,0.757479601,0.807319438,0.783615855,0.823111981,0.670327199,0.520778261,0.448560204,0.49501676,0.440051317,0.498243273,0.479554342,0.448683567,27793.56915,34568.67618
38,0.816565327,0.826660298,0.767023966,0.793267434,0.824028344,0.796928879,0.777592871,0.76955819,0.811809381,0.845306481,0.760288735,0.808136785,0.787124679,0.826681065,0.678184635,0.526814512,0.4512479,0.500091546,0.442897672,0.498643105,0.482380235,0.451650152,27925.08566,34044.70008
39,0.818844667,0.828878227,0.769100595,0.796435915,0.829253229,0.800779045,0.780291971,0.773230213,0.812676759,0.845233792,0.762468807,0.809943154,0.788843623,0.827008952,0.683309024,0.533743403,0.453390465,0.503153917,0.445528506,0.503420729,0.486976002,0.455896619,28103.99882,34719.30075
40,0.816634018,0.833531163,0.769370233,0.800545595,0.822407354,0.799836075,0.777707555,0.771441953,0.813348157,0.852133161,0.764625094,0.816612799,0.789501105,0.83080319,0.686443125,0.539325702,0.456655141,0.507408058,0.444044931,0.506673186,0.49033985,0.459438825,27923.39385,34878.02213
41,0.81878037,0.836314128,0.770251793,0.804505229,0.825297925,0.805123898,0.781803884,0.77848443,0.815305728,0.852656397,0.764093137,0.81813895,0.790698164,0.834870145,0.690071733,0.546182961,0.455705299,0.5098113,0.446237186,0.509602917,0.49201317,0.462678466,28290.32198,35255.84403
